Gene1,Gene2
ATOH1,ANXA4
ATOH1,AP3B2
ATOH1,APBA1
ATOH1,ATOH1
ATOH1,CALB2
ATOH1,CASZ1
ATOH1,CD164L2
ATOH1,CHRNA9
ATOH1,CIB2
ATOH1,CXCL14
ATOH1,DLL3
ATOH1,ESPNL
ATOH1,FBXO2
ATOH1,GFI1
ATOH1,GRXCR1
ATOH1,HEBP2
ATOH1,HES6
ATOH1,INSC
ATOH1,KNCN
ATOH1,LFNG
ATOH1,LHFPL5
ATOH1,LHX3
ATOH1,LMO1
ATOH1,MFNG
ATOH1,MYCBPAP
ATOH1,MYO6
ATOH1,PCP4
ATOH1,POU4F3
ATOH1,PROX1
ATOH1,PVALB
ATOH1,RASD2
ATOH1,RBM24
ATOH1,RNF182
ATOH1,RUNDC3A
ATOH1,SMPX
ATOH1,TECTB
ATOH1,TESC
ATOH1,TMCC2
ATOH1,TOMT
ATOH1,TRNP1
ATOH1,UCHL1
SOX2,Hist1h1c
SOX2,Lgals1
SOX2,Hes1
SOX2,Tmsb10
SOX2,Plat
SOX2,Plk1
SOX2,Atp6v1g1
SOX2,Dctn3
SOX2,Prox1
SOX2,Cdkn1a
SOX2,Ssr2
SOX2,Lsamp
SOX2,Id2
SOX2,Gas2l3
SOX2,Sox4
SOX2,Zfpm2
SOX2,Cdca3
SOX2,Hist1h2bc
SOX2,Csrp2
SOX2,Myl6
SOX2,Cdk1
SOX2,Btg1
SOX2,Sox9
SOX2,Srsf2
SOX2,Socs3
SOX2,Skp1a
SOX2,Ckb
SOX2,Crip2
SOX2,Hpcal1
SOX2,Ywhaq
SOX2,Sox11
SOX2,Rps29
SOX2,Hspa2
SOX2,Srsf5
SOX2,Npc2
SOX2,Gadd45g
SOX2,Irx2
SOX2,A330035P11Rik
SOX2,Nedd8
SOX2,Cenpm
SOX2,Tuba1b
SOX2,Tuba1a
SOX2,Jam2
SOX2,Srsf3
SOX2,Mtch1
SOX2,Glo1
SOX2,Myl12a
SOX2,Srsf7
SOX2,Calm2
SOX2,Hbegf
SOX2,Fth1
SOX2,Apba1
SOX2,Gldc
SOX2,Sfr1
SOX2,Bcl2
SOX2,Tmcc2
SOX2,Ier5
SOX2,Prdx6
SOX2,Hsd17b7
SOX2,Parp1
SOX2,Tgfb2
SOX2,Atf3
SOX2,Fn1
SOX2,Igfbp2
SOX2,Hes6
SOX2,Rcn1
SOX2,Pdia3
SOX2,Dstn
SOX2,Fkbp1a
SOX2,Nrarp
SOX2,Hspa5
SOX2,Rprm
SOX2,Atp5c1
SOX2,Trim45
SOX2,Gstm1
SOX2,Cnn3
SOX2,Rpl22l1
SOX2,Sox2
SOX2,Dclk1
SOX2,Hdgf
SOX2,Lmna
SOX2,Cks1b
SOX2,Stil
SOX2,Akr1a1
SOX2,Stmn1
SOX2,Ddost
SOX2,Errfi1
SOX2,Epha7
SOX2,Smc2
SOX2,Psip1
SOX2,Dynll1
SOX2,Ran
SOX2,Psph
SOX2,Actb
SOX2,Mrfap1
SOX2,Evc2
SOX2,Uchl1
SOX2,Ldhb
SOX2,Serbp1
SOX2,Mat2a
SOX2,Spon1
SOX2,Arl6ip1
SOX2,Ube2s
SOX2,Arrdc4
SOX2,Klf2
SOX2,Irx3
SOX2,Mt2
SOX2,Herpud1
SOX2,Twf2
SOX2,Manf
SOX2,H2afx
SOX2,Tspan3
SOX2,Tpm1
SOX2,Cox7a2
SOX2,Morf4l2
SOX2,Maged1
