,PseudoTime1
H9_00hb4s_001,0.029945032
H9_00hb4s_002,0.015237254
H9_00hb4s_003,0.064590188
H9_00hb4s_004,0.025702004
H9_00hb4s_005,0.084344569
H9_00hb4s_006,0.094989595
H9_00hb4s_007,0.074988592
H9_00hb4s_008,0.008991277
H9_00hb4s_009,0.034216758
H9_00hb4s_010,0.059671779
H9_00hb4s_011,0.069342841
H9_00hb4s_012,0.015189464
H9_00hb4s_013,0.001793791
H9_00hb4s_015,0.010322134
H9_00hb4s_016,0.093156062
H9_00hb4s_017,0.008526676
H9_00hb4s_018,0.056010665
H9_00hb4s_019,0.00468653
H9_00hb4s_020,0.008092304
H9_00hb4s_021,0.012297072
H9_00hb4s_022,0.001316199
H9_00hb4s_023,0.007609628
H9_00hb4s_024,0.005851136
H9_00hb4s_025,0.006696358
H9_00hb4s_026,0.005027087
H9_00hb4s_027,0.050374714
H9_00hb4s_028,0.014248781
H9_00hb4s_029,0.00379919
H9_00hb4s_030,0.005187855
H9_00hb4s_031,0.046763352
H9_00hb4s_032,0.002552673
H9_00hb4s_033,0.013562555
H9_00hb4s_034,0.004968249
H9_00hb4s_035,0.007472107
H9_00hb4s_036,0
H9_00hb4s_037,0.000250875
H9_00hb4s_038,0.077956233
H9_00hb4s_039,0.000547659
H9_00hb4s_040,0.000383916
H9_00hb4s_041,0.000677163
H9_00hb4s_043,0.022676267
H9_00hb4s_044,0.034464967
H9_00hb4s_045,0.003003346
H9_00hb4s_046,0.010154704
H9_00hb4s_047,0.017738447
H9_00hb4s_048,0.000942347
H9_00hb4s_050,0.000715406
H9_00hb4s_051,0.041127202
H9_00hb4s_052,0.012915192
H9_00hb4s_053,0.0027906
H9_00hb4s_054,0.021027836
H9_00hb4s_055,0.015331033
H9_00hb4s_056,0.012230682
H9_00hb4s_057,0.028171179
H9_00hb4s_058,0.006152453
H9_00hb4s_059,0.010704284
H9_00hb4s_060,0.004824609
H9_00hb4s_061,0.074134827
H9_00hb4s_062,0.013127299
H9_00hb4s_063,0.029656243
H9_00hb4s_064,0.047672751
H9_00hb4s_065,0.008035623
H9_00hb4s_066,0.008016793
H9_00hb4s_067,0.006018631
H9_00hb4s_068,0.0171659
H9_00hb4s_069,0.030404949
H9_00hb4s_070,0.041389519
H9_00hb4s_071,0.004040765
H9_00hb4s_072,0.005981685
H9_00hb4s_073,0.075795018
H9_00hb4s_074,0.030780396
H9_00hb4s_075,0.008852632
H9_00hb4s_076,0.030697642
H9_00hb4s_077,0.009998576
H9_00hb4s_078,0.000664869
H9_00hb4s_079,0.009325001
H9_00hb4s_080,0.008050458
H9_00hb4s_081,0.061580818
H9_00hb4s_082,0.007163131
H9_00hb4s_083,0.019608189
H9_00hb4s_084,0.009010293
H9_00hb4s_085,0.003046896
H9_00hb4s_086,0.017799335
H9_00hb4s_087,0.006414049
H9_00hb4s_088,0.000146211
H9_00hb4s_089,0.087257273
H9_00hb4s_090,0.009144271
H9_00hb4s_091,0.053775533
H9_00hb4s_092,0.085802604
H9_00hb4s_094,0.002671949
H9_00hb4s_095,0.06931564
H9_00hb4s_096,0.021344358
H9_12h_001,0.149237323
H9_12h_002,0.148817168
H9_12h_003,0.154093733
H9_12h_004,0.149970436
H9_12h_005,0.147737613
H9_12h_006,0.10209531
H9_12h_007,0.122863829
H9_12h_008,0.149642339
H9_12h_009,0.14831322
H9_12h_010,0.149689288
H9_12h_011,0.145939359
H9_12h_012,0.1458266
H9_12h_013,0.148967822
H9_12h_014,0.149029181
H9_12h_015,0.128402179
H9_12h_016,0.149029181
H9_12h_017,0.148967822
H9_12h_018,0.149032229
H9_12h_019,0.149032229
H9_12h_021,0.149356499
H9_12h_022,0.149237323
H9_12h_023,0.14967017
H9_12h_024,0.147627904
H9_12h_025,0.149518986
H9_12h_026,0.147832777
H9_12h_027,0.147760291
H9_12h_029,0.149391407
H9_12h_030,0.149356499
H9_12h_031,0.149032229
H9_12h_032,0.149689288
H9_12h_033,0.14831322
H9_12h_034,0.149237323
H9_12h_038,0.147913086
H9_12h_039,0.14831322
H9_12h_040,0.149249172
H9_12h_041,0.149689288
H9_12h_042,0.149554237
H9_12h_043,0.149941108
H9_12h_044,0.149794618
H9_12h_045,0.149237323
H9_12h_046,0.148567215
H9_12h_048,0.14831322
H9_12h_051,0.14831322
H9_12h_052,0.137903104
H9_12h_053,0.14831322
H9_12h_054,0.14869372
H9_12h_055,0.146935656
H9_12h_056,0.147804576
H9_12h_057,0.146289759
H9_12h_058,0.127029279
H9_12h_059,0.14074818
H9_12h_060,0.129424543
H9_12h_061,0.148967822
H9_12h_062,0.148967822
H9_12h_063,0.149556413
H9_12h_064,0.147872825
H9_12h_065,0.14831322
H9_12h_066,0.14831322
H9_12h_067,0.145893541
H9_12h_068,0.149518986
H9_12h_069,0.152232644
H9_12h_070,0.151860183
H9_12h_071,0.149768007
H9_12h_072,0.146289759
H9_12h_073,0.147523348
H9_12h_074,0.14831322
H9_12h_075,0.115071412
H9_12h_076,0.140288201
H9_12h_077,0.149915274
H9_12h_078,0.14831322
H9_12h_079,0.146691024
H9_12h_080,0.156344559
H9_12h_081,0.146237936
H9_12h_082,0.150124311
H9_12h_083,0.134616701
H9_12h_084,0.145111638
H9_12h_085,0.151783871
H9_12h_086,0.145094723
H9_12h_087,0.111945659
H9_12h_088,0.121785873
H9_12h_089,0.128059089
H9_12h_090,0.126069655
H9_12h_091,0.147285069
H9_12h_092,0.148997399
H9_12h_093,0.148426633
H9_12h_094,0.111847717
H9_12h_095,0.148786953
H9_12h_096,0.105176375
H9_12h_097,0.14476429
H9_12h_098,0.136569656
H9_12h_099,0.14831322
H9_12h_100,0.148967822
H9_12h_101,0.135349057
H9_12h_102,0.148817168
H9_12h_103,0.145191814
H9_12h_104,0.1488697
H9_12h_105,0.14831322
H9_12h_106,0.14831322
H9_12h_107,0.146115317
H9_12h_108,0.14831322
H9_12h_109,0.122096353
H9_12h_110,0.145888753
H9_24h_013,0.174503508
H9_24h_014,0.173261127
H9_24h_015,0.177072244
H9_24h_016,0.167449307
H9_24h_017,0.152930629
H9_24h_018,0.180341763
H9_24h_019,0.15231792
H9_24h_020,0.177907578
H9_24h_021,0.151293135
H9_24h_022,0.185068936
H9_24h_023,0.151870807
H9_24h_024,0.175480804
H9_24h_025,0.172501252
H9_24h_026,0.152700137
H9_24h_027,0.177799852
H9_24h_028,0.173128494
H9_24h_029,0.161023087
H9_24h_030,0.151331923
H9_24h_031,0.163034045
H9_24h_032,0.178674896
H9_24h_033,0.16069887
H9_24h_034,0.181080135
H9_24h_035,0.153181868
H9_24h_036,0.175593123
H9_24h_037,0.173765368
H9_24h_038,0.176942496
H9_24h_039,0.179065065
H9_24h_040,0.168856143
H9_24h_041,0.177286491
H9_24h_042,0.176659108
H9_24h_043,0.181013036
H9_24h_044,0.163461939
H9_24h_045,0.186795811
H9_24h_046,0.183101384
H9_24h_047,0.152384802
H9_24h_048,0.151538552
H9_24h_049,0.153458309
H9_24h_050,0.152264087
H9_24h_051,0.207788741
H9_24h_052,0.18600364
H9_24h_053,0.153255794
H9_24h_054,0.153844353
H9_24h_055,0.176017473
H9_24h_056,0.153052905
H9_24h_057,0.151917133
H9_24h_058,0.187896264
H9_24h_059,0.179169233
H9_24h_060,0.170763799
H9_24h_061,0.184363147
H9_24h_062,0.228100911
H9_24h_063,0.16771528
H9_24h_064,0.176669078
H9_24h_065,0.154289544
H9_24h_066,0.185486875
H9_24h_067,0.162849262
H9_24h_068,0.177330802
H9_24h_069,0.171369223
H9_24h_070,0.173530292
H9_24h_071,0.152130943
H9_24h_072,0.193808185
H9_24h_073,0.180763857
H9_24h_074,0.169033732
H9_24h_075,0.186043006
H9_24h_076,0.178112851
H9_24h_077,0.202258275
H9_24h_078,0.174183576
H9_36h_001,0.238330856
H9_36h_002,0.224305682
H9_36h_003,0.232793827
H9_36h_004,0.236639926
H9_36h_005,0.206524601
H9_36h_006,0.21380861
H9_36h_007,0.213903366
H9_36h_008,0.222553403
