Gene1,Gene2
CBFB,MSH6
CBFB,SLC2A3
CBFB,ARID5A
CBFB,TMEM229B
CBFB,TIMM29
CBFB,IDH1
CBFB,OTUD6B
CBFB,WDR5
CBFB,NOP2
CBFB,CLPTM1L
CBFB,DNAJC11
CBFB,SEH1L
CBFB,TES
CBFB,DNAJC10
CBFB,RANGAP1
CBFB,ARL6IP6
CBFB,RPRD1B
CBFB,RCOR1
CBFB,DCAF13
CBFB,SPNS2
CBFB,NFAT5
CBFB,PPAT
CBFB,PRKCH
CBFB,MORC3
CBFB,PGLYRP2
CBFB,TACC3
CBFB,EIF1AD
CBFB,TFR2
CBFB,MIS12
CBFB,FAM76B
CBFB,NCEH1
CBFB,CSTF2
CBFB,RABGGTB
CBFB,GMFB
CBFB,POLE3
CBFB,DUS1L
CBFB,FIGNL1
CBFB,POR
CBFB,COLGALT1
CBFB,FAR1
CBFB,1700017B05RIK
CBFB,GALNT6
CBFB,SERPINB9
CBFB,HCFC1
CBFB,CSGALNACT2
CBFB,PNO1
CBFB,DHX33
CBFB,POLD1
CBFB,CHORDC1
CBFB,LONP2
CBFB,TESPA1
CBFB,CDC45
CBFB,MTMR6
CBFB,ELF1
CBFB,KAT7
CBFB,METAP1
CBFB,TCP11L2
CBFB,FGFR1OP
CBFB,CKAP5
CBFB,EZR
CBFB,ZFP24
CBFB,ST8SIA4
CBFB,TOP3B
CBFB,PTDSS1
CBFB,AHCYL1
CBFB,RAD21
CBFB,IPO9
CBFB,ATP8B4
CBFB,GPR65
CBFB,ITGAL
CBFB,MGAT5
CBFB,PRMT7
CBFB,FASTKD2
CBFB,MOGS
CBFB,MARS
CBFB,RFC4
CBFB,CUL3
CBFB,CDCA8
CBFB,UBR7
CBFB,CDCA4
CBFB,DHRS3
CBFB,MEMO1
CBFB,STAT2
CBFB,DUSP1
CBFB,TBL3
CBFB,OTULINL
CBFB,ITSN1
CBFB,SATB1
CBFB,HACD3
CBFB,UAP1
CBFB,CBFB
CBFB,SHMT1
CBFB,FAM136A
CBFB,SPNS3
CBFB,MTREX
CBFB,GLB1
CBFB,DOK2
CBFB,TMEM43
CBFB,PRODH
CBFB,PLD3
CBFB,PLIN3
CBFB,CTC1
CBFB,GBP3
CBFB,DENND1C
CBFB,KPNA3
CBFB,RRM1
CBFB,KCTD12
CBFB,USP37
CBFB,BCL2
CBFB,ABCB8
CBFB,AKAP8L
CBFB,NCAPD2
CBFB,FOXRED1
CBFB,DEF8
CBFB,SETD2
CBFB,RARS
CBFB,HDAC2
CBFB,TPM4
CBFB,TUBGCP2
CBFB,PSTPIP1
CBFB,PANX1
CBFB,TMX4
CBFB,PBK
CBFB,TSPAN14
CBFB,CST7
CBFB,CTSL
CBFB,ABHD17B
CBFB,MFSD1
CBFB,MOB3C
CBFB,ZFP35
CBFB,ITIH5
CBFB,CD69
CBFB,VPS35
CBFB,ORC6
CBFB,CISH
CBFB,MAD2L1
CBFB,DPP8
CBFB,ANXA5
CBFB,ATP13A1
CBFB,WDR4
CBFB,RMND5A
CBFB,LAP3
CBFB,OASL2
CBFB,RGCC
CBFB,SAMD9L
CBFB,RPA2
CBFB,SNAP47
CBFB,4833439L19RIK
CBFB,ZFP367
CBFB,GOLT1B
CBFB,ME2
CBFB,SLC35B4
CBFB,ARL8B
CBFB,SLC18A2
CBFB,CNIH1
CBFB,PCMTD1
CBFB,NUP107
CBFB,ACAA2
CBFB,RCC1
CBFB,WDHD1
CBFB,TRIM35
CBFB,AURKB
CBFB,FDFT1
CBFB,LONP1
CBFB,TARS
CBFB,CLEC12A
CBFB,ATG12
CBFB,AP3S1
CBFB,COPB1
CBFB,FTSJ3
CBFB,ADO
CBFB,NCLN
CBFB,GOLPH3
CBFB,STXBP4
CBFB,INO80D
CBFB,RANBP3
CBFB,VSIR
CBFB,PLAA
CBFB,CDT1
CBFB,DNAJC5
CBFB,PRSS57
CBFB,FCHO2
CBFB,SESN1
CBFB,COQ8A
CBFB,DNM1L
CBFB,ZFP451
CBFB,UHRF1
CBFB,SLC19A1
CBFB,RCSD1
CBFB,ELMO2
CBFB,PRELID3B
CBFB,JPT2
CBFB,AGPS
CBFB,MRPL37
CBFB,LDHB
CBFB,TXNDC11
CBFB,LIG1
CBFB,GMCL1
CBFB,APLP2
CBFB,B230219D22RIK
CBFB,IL21R
CBFB,SLC30A5
CBFB,ZNRF2
CBFB,TNFRSF21
CBFB,DHFR
CBFB,ACOX1
CBFB,SLC39A6
CBFB,RHOF
CBFB,STT3B
CBFB,MKI67
CBFB,SDF2L1
CBFB,IL27RA
CBFB,EML4
CBFB,DLST
CBFB,RRM2
CBFB,NADK
CBFB,UBA7
CBFB,CTLA2A
CBFB,PRIM2
CBFB,FRRS1
CBFB,CBX7
CBFB,USP10
CBFB,PFKP
CBFB,LCP2
CBFB,TM7SF3
CBFB,TFG
CBFB,MYO1F
CBFB,PLEKHO2
CBFB,ALDH9A1
CBFB,ANXA2
CBFB,RGS2
CBFB,RFC5
CBFB,TBC1D10C
CBFB,SLC25A46
CBFB,TUBGCP3
CBFB,GMIP
CBFB,NUDT19
CBFB,CDC7
CBFB,RPP40
CBFB,WDR55
CBFB,RGS1
CBFB,PSAT1
CBFB,RAB37
CBFB,TMEM97
CBFB,ATP6AP2
CBFB,CD48
CBFB,BC005561
CBFB,MYO5A
CBFB,TRIM59
CBFB,INTS13
CBFB,TOP2A
CBFB,CPA3
CBFB,RAD51
CBFB,TMEM173
CBFB,PRPF4
CBFB,PSEN1
CBFB,TMEM50B
CBFB,UTP4
CBFB,SLCO3A1
CBFB,DENND2D
CBFB,TMEM206
CBFB,SLC44A2
CBFB,CYBC1
CBFB,CFP
CBFB,CCDC137
CBFB,CTSO
CBFB,SNX30
CBFB,PCMTD2
CBFB,PREP
CBFB,CCL4
CBFB,MSMO1
CBFB,METTL27
CBFB,GIMAP5
CBFB,TCIRG1
CBFB,GANAB
CBFB,TIPIN
CBFB,IARS2
CBFB,G6PDX
CBFB,ERLIN1
CBFB,TBC1D9B
CBFB,TBC1D5
CBFB,GMNN
CBFB,SGMS1
CBFB,CERS4
CBFB,EPSTI1
CBFB,LTB
CBFB,PLXNC1
CBFB,CAD
CBFB,PPP1R15A
CBFB,PARP8
CBFB,NDRG1
CBFB,SORT1
CBFB,RPA1
CBFB,MPL
CBFB,ATAD1
CBFB,CYB5R1
CBFB,ACOT9
CBFB,EMID1
CBFB,ST6GALNAC4
CBFB,FLOT2
CBFB,ATP11C
CBFB,GRIA3
CBFB,MPO
CBFB,SLA
CBFB,METTL7A1
CBFB,GNG12
CBFB,CCDC50
CBFB,FLT3
CBFB,ADSSL1
CBFB,GFI1B
CBFB,GIMAP6
CBFB,TYMS
CBFB,CCNB2
CBFB,SLC28A2
CBFB,ISYNA1
CBFB,HEXA
CBFB,TM6SF1
CBFB,GNS
CBFB,XPNPEP1
CBFB,GBP7
CBFB,IKZF1
CBFB,JUN
CBFB,MAPKAPK3
CBFB,CLN5
CBFB,PTTG1IP
CBFB,UMPS
CBFB,MTFR1
CBFB,NDE1
CBFB,GSR
CBFB,BID
CBFB,FAM91A1
CBFB,S100A6
CBFB,NAMPT
CBFB,LAPTM4B
CBFB,USP11
CBFB,PUS7
CBFB,GIMAP1
CBFB,MFNG
CBFB,UNC93B1
CBFB,CDC6
CBFB,ZFP945
CBFB,MICU1
CBFB,IARS
CBFB,TMX3
CBFB,GUSB
CBFB,TGTP2
CBFB,AKNA
CBFB,GLIPR2
CBFB,HELLS
CBFB,RPS6KA3
CBFB,FOXO1
CBFB,MFSD14B
CBFB,CHRNB1
CBFB,FUT7
CBFB,EPB41L4B
CBFB,INPP5B
CBFB,PHF6
CBFB,SELL
CBFB,UBE2L6
CBFB,TRMT11
CBFB,NFAM1
CBFB,MAP4K2
CBFB,HACD4
CBFB,FLNB
CBFB,ALAS1
CBFB,GCNT2
CBFB,CD82
CBFB,ARHGEF39
CBFB,PADI4
CBFB,FUCA2
CBFB,FAM111A
CBFB,ICAM1
CBFB,ATP6AP1
CBFB,OSBPL1A
CBFB,IGTP
CBFB,SLC43A3
CBFB,ABCG2
CBFB,GPR160
CBFB,TK1
CBFB,CSGALNACT1
CBFB,CTSZ
CBFB,PIM2
CBFB,FCGR3
CBFB,VAV3
CBFB,CSAD
CBFB,SCARB1
CBFB,PCLAF
CBFB,PAK1
CBFB,IRGM2
CBFB,LYN
CBFB,PEAR1
CBFB,CALCRL
CBFB,GBP2
CBFB,TCN2
CBFB,RASA4
CBFB,NKG7
CBFB,MYO1G
CBFB,RTP4
CBFB,PRPS2
CBFB,TYROBP
CBFB,CTLA2B
CBFB,RP2
CBFB,EBF1
CBFB,MYL10
CBFB,SMPDL3A
CBFB,SSH3
CBFB,MAN2A2
CBFB,RAB44
CBFB,UBL4A
CBFB,PRKCQ
CBFB,MYC
CBFB,APOE
CBFB,PRIM1
CBFB,XAF1
CBFB,FCER1G
CBFB,EMILIN1
CBFB,TOR3A
CBFB,ARL11
CBFB,CD53
CBFB,PTGR1
CBFB,NEURL3
CBFB,LGALS1
CBFB,SCARF1
CBFB,RASSF4
CBFB,CTSG
CBFB,TNIP3
CBFB,CNRIP1
CBFB,SPI1
CBFB,SH2D5
CBFB,PTGS1
CBFB,GNG11
CBFB,MEIS1
CBFB,IL12A
CBFB,PECAM1
CBFB,MAGED2
CBFB,MYCT1
CBFB,PLEK
CBFB,CD9
CBFB,IRF8
CBFB,SHISA8
CBFB,ANXA1
CBFB,CSF2RB
CBFB,GRINA
CBX7,SHISA8
CBX7,PRKCH
CBX7,PLXNC1
CBX7,CSGALNACT1
CBX7,SATB1
CBX7,FLT3
CBX7,SLCO3A1
CBX7,KCTD12
CBX7,LYN
CBX7,VAV3
CBX7,BCL2
CBX7,TM6SF1
CBX7,PARP8
CBX7,TMEM229B
CBX7,EPB41L4B
CBX7,IKZF1
CBX7,TRIM47
CBX7,RGCC
CBX7,TNFRSF21
CBX7,TRPC6
CBX7,DHRS3
CBX7,RCSD1
CBX7,EBF1
CBX7,SPNS2
CBX7,JUN
CBX7,GRIA3
CBX7,RAB31
CBX7,SLC18A2
CBX7,ST8SIA4
CBX7,CYP4V3
CBX7,PEAR1
CBX7,GALNT6
CBX7,NDRG1
CBX7,IRF8
CBX7,GNG12
CBX7,ADSSL1
CBX7,PRKCQ
CBX7,MFSD1
CBX7,RGS2
CBX7,CERK
CBX7,CD82
CBX7,MEIS1
CBX7,OTULINL
CBX7,PLPPR3
CBX7,ANXA5
CBX7,ARID5A
CBX7,SH2D5
CBX7,ANXA2
CBX7,AFAP1L1
CBX7,HDAC2
CBX7,MYC
CBX7,SGMS1
CBX7,PTGS1
CBX7,SMPDL3A
CBX7,GATA2
CBX7,RASSF4
CBX7,TES
CBX7,FGL2
CBX7,KRT18
CBX7,PANX1
CBX7,MLKL
CBX7,FLNB
CBX7,SLC43A3
CBX7,GRK3
CBX7,ADA
CBX7,UNC93B1
CBX7,NCEH1
CBX7,DENND2D
CBX7,EMID1
CBX7,VSIR
CBX7,LDHB
CBX7,ERLIN1
CBX7,GLIPR2
CBX7,PRPS2
CBX7,TBC1D5
CBX7,RRM1
CBX7,GMFB
CBX7,GBP7
CBX7,WDHD1
CBX7,STXBP4
CBX7,MGAT5
CBX7,CHRNB1
CBX7,CLN5
CBX7,NFAT5
CBX7,RASA4
CBX7,ALAS1
CBX7,GMCL1
CBX7,PFKP
CBX7,SLC19A1
CBX7,PTDSS1
CBX7,AKAP8L
CBX7,SDF2L1
CBX7,PRELID3B
CBX7,B230219D22RIK
CBX7,DUS1L
CBX7,CTSL
CBX7,TPM4
CBX7,SNAP23
CBX7,DNAJC5
CBX7,ME2
CBX7,DLST
CBX7,RPA1
CBX7,ARL8B
CBX7,ELF1
CBX7,SLC30A5
CBX7,RAB37
CBX7,PTTG1IP
CBX7,CAD
CBX7,PREP
CBX7,POLD1
CBX7,IARS
CBX7,DPP8
CBX7,TXNDC11
CBX7,PCMTD2
CBX7,TMX4
CBX7,TMEM97
CBX7,ZFP24
CBX7,TIPIN
CBX7,FES
CBX7,PROCR
CBX7,AHCYL1
CBX7,SEH1L
CBX7,DUSP1
CBX7,FDFT1
CBX7,DNAJC11
CBX7,COQ8A
CBX7,PRMT7
CBX7,MSMO1
CBX7,MARS
CBX7,FCHO2
EBF1,MORC3
EBF1,POLD1
EBF1,GFI1B
EBF1,DHRS3
EBF1,IL27RA
EBF1,FIGNL1
EBF1,CDT1
EBF1,EZR
EBF1,DHX33
EBF1,VSIR
EBF1,RHOF
EBF1,TFR2
EBF1,RASSF4
EBF1,FAM111A
EBF1,WDHD1
EBF1,CD69
EBF1,GLIPR2
EBF1,SLC30A5
EBF1,TK1
EBF1,AURKB
EBF1,OSBPL1A
EBF1,JPT2
EBF1,OASL2
EBF1,AKAP8L
EBF1,RAB37
EBF1,CSGALNACT1
EBF1,FOXO1
EBF1,CD82
EBF1,DENND1C
EBF1,MIS12
EBF1,MAP4K2
EBF1,1700017B05RIK
EBF1,EIF1AD
EBF1,RRM1
EBF1,GIMAP6
EBF1,CSGALNACT2
EBF1,ACAA2
EBF1,LYN
EBF1,SLC35B4
EBF1,BID
EBF1,GOLPH3
EBF1,DLST
EBF1,ARID5A
EBF1,LONP1
EBF1,INO80D
EBF1,FUCA2
EBF1,SLC25A46
EBF1,MARS
EBF1,CDC7
EBF1,NFAT5
EBF1,RCSD1
EBF1,INTS13
EBF1,VAV3
EBF1,CLPTM1L
EBF1,MGAT5
EBF1,ARL6IP6
EBF1,GRK3
EBF1,TGTP2
EBF1,ITIH5
EBF1,FES
