,PseudoTime1
HSPC_025,0.10087727
HSPC_031,0.066005914
HSPC_037,0.11515768
LT_HSC_001,0.036805005
HSPC_001,0.048043793
HSPC_008,0.05816923
HSPC_014,0.116205076
HSPC_020,0.013984746
HSPC_026,0.099325854
HSPC_038,0.151358184
LT_HSC_002,0.063086223
HSPC_002,0.045819527
HSPC_009,0.09759153
HSPC_015,0.11540172
HSPC_021,0.068896981
HSPC_027,0.088355947
HSPC_033,0.124916301
LT_HSC_003,0.066224116
HSPC_003,0.091065015
HSPC_016,0.105822755
HSPC_028,0.111771471
HSPC_034,0.088801589
HSPC_040,0.120228895
LT_HSC_004,0.03054721
HSPC_004,0.10962513
HSPC_011,0.124090368
HSPC_017,0.042306651
HSPC_023,0.113075837
HSPC_035,0.051214075
HSPC_041,0.11281354
HSPC_012,0.098084218
HSPC_018,0.070575699
HSPC_024,0.056710131
HSPC_030,0.132602485
HSPC_036,0.088689213
HSPC_042,0.117686629
LT_HSC_006,0.110639295
HSPC_006,0.100835204
Prog_026,0.083814464
LT_HSC_009,0.03324722
Prog_040,0.074068232
LT_HSC_010,0.092893437
LT_HSC_012,0.029299643
HSPC_049,0.105579562
HSPC_055,0.083381019
HSPC_061,0.095950459
HSPC_067,0.101420047
HSPC_073,0.104075097
HSPC_079,0.078720878
LT_HSC_013,0.035734972
HSPC_043,0.093783385
HSPC_050,0.099793268
HSPC_056,0.107356337
HSPC_068,0.101292679
HSPC_074,0.042783231
HSPC_080,0.102382839
LT_HSC_014,0.033606509
HSPC_051,0.118960041
HSPC_057,0.021277304
HSPC_069,0.041721578
HSPC_075,0.035317911
HSPC_081,0.065826736
LT_HSC_015,0.035218944
HSPC_045,0.10095406
HSPC_058,0.112962353
HSPC_064,0.093252553
HSPC_070,0.096859311
HSPC_076,0.070857058
HSPC_082,0.076177889
LT_HSC_016,0.02577771
HSPC_046,0.057147223
HSPC_053,0.093110198
HSPC_065,0.08164553
HSPC_071,0.088030306
HSPC_077,0.085654585
HSPC_083,0.035767978
LT_HSC_017,0.048725159
HSPC_047,0.054319022
HSPC_054,0.114263212
HSPC_060,0.044702213
HSPC_066,0.023401122
HSPC_078,0.098857205
HSPC_084,0.113074568
LT_HSC_018,0.031165988
HSPC_048,0.121946893
Prog_073,0.111880116
LT_HSC_020,0.128899337
LT_HSC_021,0.052747859
LT_HSC_022,0.029484768
LT_HSC_023,0.03152642
Prog_048,0.067441945
HSPC_103,0.104598351
HSPC_115,0.07144817
HSPC_121,0.099917215
HSPC_085,0.112827022
HSPC_098,0.095553879
HSPC_104,0.11350341
HSPC_122,0.123087027
LT_HSC_026,0.099969625
HSPC_099,0.061480652
HSPC_105,0.118736819
HSPC_111,0.039355296
HSPC_117,0.100400025
HSPC_123,0.106763825
HSPC_087,0.019747855
HSPC_094,0.074592033
HSPC_100,0.106084596
HSPC_106,0.046881242
HSPC_118,0.070519744
LT_HSC_028,0.035578135
HSPC_088,0.067435464
HSPC_095,0.010273727
HSPC_101,0.091820544
HSPC_107,0.1132203
HSPC_119,0.050829984
