Gene1,Gene2
CBFB,SLC2A3
CBFB,ARID5A
CBFB,SLC39A13
CBFB,DOCK10
CBFB,SSH2
CBFB,TES
CBFB,F2R
CBFB,MGAT1
CBFB,SPNS2
CBFB,PRKCH
CBFB,TFR2
CBFB,LY9
CBFB,TMEM123
CBFB,NCEH1
CBFB,ACAP1
CBFB,RANBP1
CBFB,SLBP
CBFB,TBXA2R
CBFB,CMAH
CBFB,SLC26A11
CBFB,DYNLL1
CBFB,SERP1
CBFB,PTPRE
CBFB,AP1S2
CBFB,CIPC
CBFB,RASAL3
CBFB,CDK17
CBFB,LCK
CBFB,PPM1G
CBFB,PAFAH2
CBFB,NT5C3
CBFB,LONP2
CBFB,TESPA1
CBFB,ELF1
CBFB,BTLA
CBFB,CCR7
CBFB,VAMP1
CBFB,ZFP62
CBFB,CCNG2
CBFB,GPR171
CBFB,PPCDC
CBFB,ST8SIA4
CBFB,ATP8B4
CBFB,GPR65
CBFB,ITGAL
CBFB,TUBB4B
CBFB,ARHGAP15
CBFB,MOGS
CBFB,ITGB2
CBFB,STK17B
CBFB,GBP4
CBFB,ZFP422
CBFB,DHRS3
CBFB,PKN3
CBFB,ELOVL5
CBFB,MPZL1
CBFB,DUSP1
CBFB,OTULINL
CBFB,ITSN1
CBFB,ZYX
CBFB,SATB1
CBFB,CBFB
CBFB,SPNS3
CBFB,DOK2
CBFB,JPT1
CBFB,PLIN3
CBFB,SLC9A9
CBFB,DUSP5
CBFB,KCTD12
CBFB,BCL2
CBFB,NCAPD2
CBFB,RNF38
CBFB,CKS1B
CBFB,P2RY14
CBFB,DEF8
CBFB,UBASH3A
CBFB,ARPP21
CBFB,TPM4
CBFB,CAPG
CBFB,PSTPIP1
CBFB,TSPAN3
CBFB,PANX1
CBFB,P2RX1
CBFB,DCK
CBFB,CST7
CBFB,CTSL
CBFB,LAX1
CBFB,ABHD17B
CBFB,NLRC3
CBFB,SLC43A2
CBFB,CD69
CBFB,GAS2L3
CBFB,CISH
CBFB,DTL
CBFB,SELPLG
CBFB,ANXA5
CBFB,NWD1
CBFB,SERPINB6A
CBFB,LRRC8C
CBFB,IL17RE
CBFB,STK10
CBFB,RNF125
CBFB,SNAP47
CBFB,GPR18
CBFB,ZFP367
CBFB,ME2
CBFB,RASSF2
CBFB,SLC18A2
CBFB,LGMN
CBFB,FDFT1
CBFB,CLEC12A
CBFB,TRPV2
CBFB,PYGL
CBFB,CDT1
CBFB,ART4
CBFB,NUCB2
CBFB,PRSS57
CBFB,CTSB
CBFB,FCHO2
CBFB,COQ8A
CBFB,CDK19
CBFB,RNF13
CBFB,UHRF1
CBFB,RCSD1
CBFB,FRMD6
CBFB,GM2A
CBFB,GSTM1
CBFB,EVI2A
CBFB,CYFIP2
CBFB,LDHB
CBFB,LACTB
CBFB,APLP2
CBFB,CD44
CBFB,ZNRF2
CBFB,CAMK1D
CBFB,GNG2
CBFB,STARD4
CBFB,SLC39A6
CBFB,NDRG2
CBFB,RHOF
CBFB,DUSP6
CBFB,IL7R
CBFB,MKI67
CBFB,NRROS
CBFB,UBA7
CBFB,UAP1L1
CBFB,CBX7
CBFB,GAA
CBFB,FADS1
CBFB,VAMP5
CBFB,ERP29
CBFB,PTP4A3
CBFB,CCT2
CBFB,KAZALD1
CBFB,LSP1
CBFB,ANXA2
CBFB,RGS2
CBFB,GBP9
CBFB,SLC16A10
CBFB,EEPD1
CBFB,RGS19
CBFB,NUDT19
CBFB,AMPD2
CBFB,IRAK3
CBFB,SPC24
CBFB,PLXDC2
CBFB,SAMSN1
CBFB,CD48
CBFB,CREG1
CBFB,MYO5A
CBFB,TRIM59
CBFB,CD55
CBFB,TNFAIP2
CBFB,ABCG3
CBFB,TXNIP
CBFB,TOP2A
CBFB,ITPR2
CBFB,TMEM173
CBFB,RFTN1
CBFB,SLC18A1
CBFB,BPIFC
CBFB,PARVG
CBFB,SYTL1
CBFB,CPQ
CBFB,FUT8
CBFB,SLCO3A1
CBFB,EMP1
CBFB,DENND2D
CBFB,TMEM206
CBFB,SLC44A2
CBFB,CFP
CBFB,TMEM14C
CBFB,ARHGAP27
CBFB,MSMO1
CBFB,GSN
CBFB,GIMAP5
CBFB,PAG1
CBFB,TIPIN
CBFB,N4BP3
CBFB,ARHGAP18
CBFB,ZMIZ1
CBFB,TBC1D5
CBFB,GMNN
CBFB,H2-DMA
CBFB,RRAS
CBFB,SGMS1
CBFB,CERS4
CBFB,EPSTI1
CBFB,LTB
CBFB,PLXNC1
CBFB,RAG2
CBFB,PGRMC1
CBFB,PPP1R15A
CBFB,MAN1A
CBFB,PARP8
CBFB,SYK
CBFB,CNN3
CBFB,MPL
CBFB,DOCK11
CBFB,ANKRD44
CBFB,ITGB7
CBFB,MPO
CBFB,SLA
CBFB,METTL7A1
CBFB,FLT3
CBFB,ADSSL1
CBFB,GFI1B
CBFB,TM6SF1
CBFB,ITGA6
CBFB,CD81
CBFB,SOCS2
CBFB,PF4
CBFB,IKZF1
CBFB,SAT1
CBFB,SELENOP
CBFB,GIMAP8
CBFB,SP100
CBFB,IFI27
CBFB,S100A6
CBFB,RHOH
CBFB,IL18RAP
CBFB,NHP2
CBFB,USP11
CBFB,GIMAP1
CBFB,CTSW
CBFB,UNC93B1
CBFB,TMEM268
CBFB,AKNA
CBFB,SLC29A1
CBFB,FOXO1
CBFB,NOTCH1
CBFB,TAPT1
CBFB,SLFN2
CBFB,LDHD
CBFB,CHRNB1
CBFB,MCTP2
CBFB,CTNNAL1
CBFB,FUT7
CBFB,STXBP1
CBFB,PDE1B
CBFB,SELL
CBFB,UBE2L6
CBFB,CCDC112
CBFB,GOLM1
CBFB,PLSCR4
CBFB,HACD4
CBFB,PRNP
CBFB,FAM171A1
CBFB,GP9
CBFB,IGFBP4
CBFB,ARHGEF39
CBFB,OTUB2
CBFB,LAG3
CBFB,CTTN
CBFB,SLAMF1
CBFB,HID1
CBFB,KLHL4
CBFB,KCNK5
CBFB,FUCA2
CBFB,ESR1
CBFB,TSPAN2
CBFB,TRIM16
CBFB,RAB27B
CBFB,ANGPT1
CBFB,ABCG2
CBFB,CSGALNACT1
CBFB,POLA2
CBFB,ARRDC4
CBFB,EMB
CBFB,VAV3
CBFB,NSMF
CBFB,GRAMD1A
CBFB,DPP4
CBFB,LYN
CBFB,RAMP1
CBFB,PEAR1
CBFB,GBP2
CBFB,ITGAM
CBFB,CDK6
CBFB,RASA4
CBFB,NKG7
CBFB,GIMAP4
CBFB,ENPP5
CBFB,PRPS2
CBFB,TYROBP
CBFB,WLS
CBFB,RP2
CBFB,HAAO
CBFB,IL17RA
CBFB,NAPSA
CBFB,TTC39B
CBFB,SMPDL3A
CBFB,KBTBD11
CBFB,GGTA1
CBFB,CORO7
CBFB,IPCEF1
CBFB,D630039A03RIK
CBFB,CPXM1
CBFB,CD33
CBFB,RNF213
CBFB,MYC
CBFB,APOE
CBFB,KIF17
CBFB,PRIM1
CBFB,CRIP1
CBFB,TLR7
CBFB,IFI213
CBFB,NPDC1
CBFB,SSTR2
CBFB,FCRL1
CBFB,TMEM246
CBFB,ARL11
CBFB,PPIC
CBFB,CD53
CBFB,NEURL3
CBFB,LGALS1
CBFB,SCARF1
CBFB,CTSG
CBFB,MYLK
CBFB,FAM110C
CBFB,ENG
CBFB,PRUNE2
CBFB,CCL3
CBFB,SPI1
CBFB,FGD2
CBFB,SH2D5
CBFB,PTGS1
CBFB,HSD3B7
CBFB,GNG11
CBFB,AFDN
CBFB,BDH2
CBFB,TRAF1
CBFB,MEIS1
CBFB,IL12A
CBFB,PECAM1
CBFB,MAGED2
CBFB,PAQR5
CBFB,MYCT1
CBFB,PLEK
CBFB,CD9
CBFB,IRF8
CBFB,IFI209
CBFB,ITGB5
CBFB,FLNA
CBFB,RNASE6
CBFB,PDGFRB
CBFB,FGD5
CBFB,APP
CBX7,DOCK10
CBX7,OBSCN
CBX7,CDKN1C
CBX7,PRKCH
CBX7,PLXNC1
CBX7,CSGALNACT1
CBX7,SATB1
CBX7,FLT3
CBX7,SLCO3A1
CBX7,KBTBD11
CBX7,SSTR2
CBX7,NAV1
CBX7,CADPS2
CBX7,FAM110C
CBX7,ANKRD33B
CBX7,PAG1
CBX7,KCTD12
CBX7,ARPP21
CBX7,SLC35D3
CBX7,LYN
CBX7,VAV3
CBX7,BCL2
CBX7,H2-Q6
CBX7,SEMA3D
CBX7,TM6SF1
CBX7,PARP8
CBX7,APP
CBX7,COL4A2
CBX7,COL4A1
CBX7,VLDLR
CBX7,RFTN1
CBX7,IGFBP4
CBX7,IKZF1
CBX7,TRIM47
CBX7,RASSF2
CBX7,ITPR2
CBX7,MEF2C
CBX7,ZMIZ1
CBX7,TRPC6
CBX7,DHRS3
CBX7,RCSD1
CBX7,MAN1A
CBX7,CAMK1D
CBX7,SPNS2
CBX7,SLC22A3
CBX7,RNF213
CBX7,OBSL1
CBX7,WLS
CBX7,SLC18A2
CBX7,ST8SIA4
CBX7,PDE1B
CBX7,CDK6
CBX7,PEAR1
CBX7,SSH2
CBX7,MN1
CBX7,KAZALD1
CBX7,CTSH
CBX7,AFF3
CBX7,PTPRE
CBX7,IRF8
CBX7,ANKRD44
CBX7,FGD5
CBX7,DPP4
CBX7,SLC16A11
CBX7,NOTCH1
CBX7,CPNE8
CBX7,PLSCR4
CBX7,TSPAN2
CBX7,ADSSL1
CBX7,RGS2
CBX7,PKIB
CBX7,GSN
CBX7,LPCAT2
CBX7,STK10
CBX7,CD44
CBX7,CAV2
CBX7,RAB38
CBX7,TNFAIP2
CBX7,EEPD1
CBX7,TXNIP
CBX7,LRRC8C
CBX7,ANGPT1
CBX7,VEGFC
CBX7,GUCY1A1
CBX7,MEIS1
CBX7,OTULINL
CBX7,PLPPR3
CBX7,ANXA5
CBX7,ARID5A
CBX7,SH2D5
CBX7,PRUNE2
CBX7,ANXA2
CBX7,IRAK3
CBX7,CD34
CBX7,DUSP5
CBX7,FSTL1
CBX7,DDX4
CBX7,F2R
CBX7,ZFP422
CBX7,UPP1
CBX7,MYC
CBX7,PPIC
CBX7,SGMS1
CBX7,PTGS1
CBX7,ZYX
CBX7,PLXDC2
CBX7,ICA1
CBX7,SMPDL3A
CBX7,SLC16A10
CBX7,VAMP5
CBX7,TMEM37
CBX7,GATA2
CBX7,TES
CBX7,KRT18
CBX7,PANX1
CBX7,GGTA1
CBX7,PAQR5
CBX7,IL17RA
CBX7,RAB27B
CBX7,SDC1
CBX7,NRROS
CBX7,STXBP1
CBX7,UNC93B1
CBX7,IL1R1
CBX7,CREG1
CBX7,NCEH1
CBX7,CD63
CBX7,D630039A03RIK
CBX7,TMEM246
CBX7,DENND2D
CBX7,RAMP1
CBX7,FAM171A1
CBX7,LDHB
CBX7,FADS1
CBX7,JAM3
CBX7,PYGL
CBX7,PRPS2
CBX7,TBC1D5
CBX7,SYK
CBX7,DOCK11
CBX7,ITGB5
CBX7,CHRNB1
CBX7,CDK18
CBX7,RASA4
CBX7,PTP4A3
CBX7,FRMD6
CBX7,SERP1
CBX7,SLC39A13
CBX7,CTSL
CBX7,TPM4
CBX7,CPXM1
CBX7,HID1
CBX7,CCDC112
CBX7,SNAP23
CBX7,ME2
CBX7,SLC18A1
CBX7,NDRG2
CBX7,ELF1
CBX7,ARRDC4
CBX7,SLC26A11
CBX7,TIPIN
CBX7,KIF17
CBX7,JPT1
CBX7,SIGLECG
CBX7,PROCR
CBX7,GAA
CBX7,DUSP1
CBX7,FHL1
CBX7,FDFT1
CBX7,COQ8A
CBX7,CIPC
CBX7,MSMO1
CBX7,FCHO2
CBX7,CORO7
ELF1,RNF38
ELF1,RANBP1
ELF1,MOGS
ELF1,SERPINB6A
ELF1,LONP2
ELF1,AP1S2
ELF1,ITSN1
ELF1,MEIS1
ELF1,NCEH1
ELF1,PRKCH
ELF1,NT5C3
ELF1,AMPD2
ELF1,TXNIP
ELF1,SERP1
ELF1,PPM1G
ELF1,ZNRF2
ELF1,PANX1
ELF1,IFI27
ELF1,SLC39A13
ELF1,PLIN3
ELF1,LYN
ELF1,NHP2
ELF1,CD48
ELF1,FUCA2
ELF1,CDK19
ELF1,CCL9
ELF1,CCT2
ELF1,SAT1
ELF1,TM6SF1
ELF1,ITGB2
ELF1,ARHGEF39
ELF1,LY9
ELF1,SLFN2
ELF1,ME2
ELF1,PPP1R15A
ELF1,ZFP62
ELF1,ANKRD44
ELF1,DOCK10
ELF1,TMEM14C
ELF1,TESPA1
ELF1,CKS1B
ELF1,HSD3B7
ELF1,ATP8B4
ELF1,ABHD17B
ELF1,TMEM206
ELF1,RNF13
ELF1,TBC1D5
ELF1,RASAL3
ELF1,ARHGAP15
ELF1,IFI209
ELF1,MGAT1
ELF1,DUSP5
ELF1,SAMSN1
ELF1,GIMAP8
ELF1,IKZF1
ELF1,RGS19
ELF1,TES
ELF1,VAMP1
ELF1,CDK18
ELF1,CBFB
ELF1,PPCDC
ELF1,PRPS2
ELF1,ARHGAP27
ELF1,PKN3
ELF1,SLC39A6
ELF1,GPR18
ELF1,CCNG2
ELF1,GSTM1
ELF1,NCAPD2
ELF1,IL7R
ELF1,IFI213
ELF1,AKNA
ELF1,MKI67
ELF1,GPR65
ELF1,TMEM173
ELF1,SSH2
ELF1,EFNA1
ELF1,TUBB4B
ELF1,SLC43A2
ELF1,SPI1
ELF1,ARL11
ELF1,PIRB
ELF1,ARHGAP18
ELF1,ACAP1
ELF1,CDT1
ELF1,LAX1
ELF1,JPT1
ELF1,UHRF1
ELF1,TMEM123
ELF1,KCTD12
ELF1,PAFAH2
ELF1,CMAH
ELF1,GIMAP1
ELF1,SLC26A11
ELF1,FDFT1
ELF1,PARP8
ELF1,H2-DMA
ELF1,EBI3
ELF1,VAV3
ELF1,TYROBP
ELF1,GMNN
ELF1,SLC44A2
ELF1,TFEC
ELF1,RHOH
ELF1,GAS2L3
ELF1,CCL3
ELF1,SLBP
ELF1,LSP1
ELF1,CBX7
ELF1,NRROS
ELF1,SP100
ELF1,PF4
ELF1,TBXA2R
ELF1,OSGIN1
ELF1,CTSS
ELF1,NUCB2
ELF1,RRAS
ELF1,NLRC3
ELF1,UNC93B1
ELF1,SYK
ELF1,FUT7
ELF1,CCR7
ELF1,USP11
ELF1,BTLA
ELF1,NEURL3
ELF1,CTSB
ELF1,GBP4
ELF1,PSTPIP1
ELF1,GNG2
ELF1,DOK2
ELF1,UBA7
ELF1,RNF213
ELF1,ITGAL
ELF1,PLD4
ELF1,CD69
ELF1,ITGA6
ELF1,ELOVL5
ELF1,NDRG2
ELF1,TRIM47
ELF1,IPCEF1
ELF1,LCK
ELF1,PTPRE
ELF1,CD244A
ELF1,ITPR2
ELF1,NWD1
ELF1,P2RY14
ELF1,GSN
ELF1,SELPLG
ELF1,WFDC17
ELF1,FGD2
ELF1,ZFP367
ELF1,VAMP5
ELF1,GRAMD1A
ELF1,IL17RA
ELF1,MAN1A
ELF1,GM1966
ELF1,FUT8
ELF1,CYFIP2
ELF1,CAPG
ELF1,HACD4
ELF1,LTB
ELF1,DOCK11
ELF1,DENND2D
ELF1,FCRL1
ELF1,SLCO3A1
ELF1,KAZALD1
ELF1,CAMK1D
ELF1,ANXA5
ELF1,CD33
ELF1,CISH
ELF1,DUSP6
ELF1,NUDT19
ELF1,PEAR1
ELF1,LRRC8C
ELF1,GPR171
ELF1,SPNS3
ELF1,CTSH
ELF1,ENG
ELF1,CST7
ELF1,SLAMF1
ELF1,SLC9A9
ELF1,STARD4
ELF1,PARVG
ELF1,FRMD6
ELF1,CD53
ELF1,DTL
ELF1,CFP
ELF1,CIPC
ELF1,OAS2
ELF1,ARPP21
ELF1,STK10
ELF1,UBASH3A
ELF1,POLA2
ESR1,GGT5
ESR1,PLSCR4
ESR1,TNFAIP2
ESR1,IRAK3
ESR1,CORO7
ESR1,SLC39A13
ESR1,TRIM16
ESR1,TMEM246
ESR1,BPIFC
ESR1,PAFAH2
ESR1,ITPR2
ESR1,CDK17
ESR1,CCNG2
ESR1,LONP2
ESR1,FUCA2
ESR1,ELF1
ESR1,TTC39B
ESR1,UBA7
ESR1,SLC43A2
ESR1,CTSB
ESR1,TNS2
ESR1,CIPC
ESR1,GSN
ESR1,DUSP5
ESR1,ANXA5
ESR1,RNF13
ESR1,NDRG2
ESR1,FAM110C
ESR1,DUSP1
ESR1,RANBP1
ESR1,ZNRF2
ESR1,CTSH
ESR1,TRIM47
ESR1,D630039A03RIK
ESR1,PEAR1
ESR1,DTL
ESR1,SLBP
ESR1,COQ8A
ESR1,SGMS1
ESR1,CNN3
ESR1,TMEM37
ESR1,VAMP1
ESR1,ZYX
ESR1,SLC29A1
ESR1,PPP1R15A
ESR1,RGS2
ESR1,TMEM206
ESR1,P2RY14
ESR1,H2-Q6
ESR1,C1RL
ESR1,TXNIP
ESR1,GAA
ESR1,SLC39A6
ESR1,DHRS3
ESR1,KCTD12
ESR1,LGALS1
ESR1,FCGRT
ESR1,DEF8
ESR1,CTSF
ESR1,TMEM268
ESR1,SERPINF1
ESR1,SELENOP
ESR1,APLP2
ESR1,TSPAN3
ESR1,NHP2
ESR1,AP1S2
ESR1,NOTCH1
ESR1,ADSSL1
ESR1,RBPMS
ESR1,FCHO2
ESR1,GM2A
