Gene1,Gene2
ARID1A,KDM3A
ARID1A,MSH6
ARID1A,SFI1
ARID1A,RIF1
ARID1A,IL33
ARID1A,MTF2
ARID1A,LRPAP1
ARID1A,GSTA4
ARID1A,ZFP42
ARID1A,UPP1
ARID1A,SPP1
ARID1A,LAMC1
ARID1A,FRRS1
ARID1A,SHROOM3
ARID1A,PLOD1
ARID1A,CCN2
ARID1A,SLC7A3
ARID1A,PATJ
ARID1A,CHD7
ARID1A,BCAM
ARID1A,SPRY4
ARID1A,LAMB2
ARID1A,HMCES
ARID1A,MME
ARID1A,TSPAN9
ARID1A,ZMYND8
ARID1A,GNPDA1
ARID1A,IFITM1
ARID1A,CBFA2T2
ARID1A,MBD2
ARID1A,CALD1
ARID1A,LEFTY1
ARID1A,LMNB1
ARID1A,FABP3
ARID1A,RNF2
ARID1A,CTSD
ARID1A,SMARCA5
ARID1A,2200002D01RIK
ARID1A,TPD52
ARID1A,PARVB
ARID1A,PDK1
ARID1A,SERPINH1
ARID1A,ARHGAP29
ARID1A,LOXL2
ARID1A,EP400
ARID1A,CST3
ARID1A,CRIP2
ARID1A,CDKN1A
ARID1A,TFRC
ARID1A,PTPN14
ARID1A,GABBR1
ARID1A,MYMX
ARID1A,PHC1
ARID1A,TUBB2B
ARID1A,APOE
ARID1A,CSRP2
ARID1A,AMPD2
ARID1A,ECT2
ATRX,SFI1
ATRX,KANSL3
ATRX,KDM1A
ATRX,MBD2
ATRX,RANBP17
ATRX,CDC73
ATRX,TCF12
ATRX,HDAC2
ATRX,NRG1
ATRX,ODC1
ATRX,ELL2
ATRX,RNF2
ATRX,MORC3
ATRX,D230025D16RIK
ATRX,NELFA
ATRX,SMARCA5
ATRX,APP
ATRX,NUP210
ATRX,EP400
ATRX,DPY30
ATRX,EPS8
ATRX,DR1
ATRX,NFYB
ATRX,TAF3
ATRX,TFRC
ATRX,CD63
ATRX,DNAJC10
ATRX,PHLDB2
ATRX,SLC16A1
ATRX,KAT6B
ATRX,MAPK8
ATRX,TET3
ATRX,EED
ATRX,P4HA1
ATRX,EDEM1
ATRX,SLC25A5
ATRX,KLF2
ATRX,KDELR2
ATRX,RRBP1
ATRX,HSP90AA1
ATRX,EZH2
ATRX,HTRA1
ATRX,CALU
ATRX,HIST1H4K
ATRX,ARHGAP29
ATRX,P3H4
ATRX,FGFR1
ATRX,BTAF1
ATRX,ASNS
ATRX,ITGA6
ATRX,TXNDC12
ATRX,MYO6
ATRX,NACC1
ATRX,HIST1H2BK
ATRX,YEATS4
ATRX,TRIM28
ATRX,SMARCC1
ATRX,ZFP57
ATRX,CTCF
ATRX,PHLDA3
ATRX,HMCES
ATRX,NCOR1
ATRX,BEX1
ATRX,NRF1
ATRX,ULK1
ATRX,INSIG1
ATRX,NCAPD3
ATRX,MKRN1
ATRX,SLC25A4
ATRX,SUMO1
ATRX,GSR
ATRX,DROSHA
ATRX,CTSL
ATRX,INO80
ATRX,HIST1H3H
ATRX,KHDC3
