Gene1,Gene2
AR,RGPD2
BCL11A,RGPD2
CTBP2,TFAP2A
CTBP2,EOMES
CTBP2,PALLD
CTBP2,WDR35
CTBP2,TJP2
CTBP2,WDHD1
CTBP2,WLS
CTBP2,ZDHHC21
CTBP2,TNC
CTBP2,PRDM1
CTBP2,DCLK1
CTBP2,ASNS
CTBP2,NDUFC2-KCTD14
CTBP2,ARHGAP42
CTBP2,SLC19A2
CTBP2,ENC1
CTBP2,STAT3
CTBP2,DUSP4
CTBP2,CPE
CTBP2,CAP2
CTBP2,MME
CTBP2,TMEM38B
CTBP2,TIPARP
CTBP2,HOMER1
CTBP2,CDC7
CTBP2,ADAMTS3
CTBP2,SNX14
CTBP2,RHOBTB3
CTBP2,PPM1H
CTBP2,VPS13C
CTBP2,USP44
CTBP2,SLC39A11
CTBP2,CA2
CTBP2,C4orf46
CTBP2,TEX10
CTBP2,NCAM1
CTBP2,CALB1
CTBP2,SLC35A3
CTBP2,DPYSL3
CTBP2,KIAA1324L
CTBP2,VIM
CTBP2,STT3B
CTBP2,LIPG
CTBP2,GDAP1
CTBP2,MAGI3
CTBP2,ZNF521
CTBP2,DYNC1I1
CTBP2,FBXO34
CTBP2,RAD51AP1
CTBP2,BCAR3
CTBP2,ALCAM
CTBP2,PELI2
CTBP2,OXTR
CTBP2,DLC1
CTBP2,TIPIN
CTBP2,PDLIM3
CTBP2,OTX2
CTBP2,TDRD7
CTBP2,LRR1
CTBP2,SEMA6A
CTBP2,MMP16
CTBP2,FEZ1
CTBP2,ANKRD13C
CTBP2,TMOD1
CTBP2,DTL
CTBP2,ARL4A
CTBP2,TSPAN12
CTBP2,SENP7
CTBP2,PREPL
CTBP2,MAN1A1
CTBP2,ITM2A
CTBP2,SOX17
CTBP2,KLHL12
CTBP2,CCPG1
CTBP2,SNAI2
CTBP2,RPP40
CTBP2,CAMK2D
CTBP2,PLAU
CTBP2,PDE3B
CTBP2,NUP54
CTBP2,IL6ST
CTBP2,NOC3L
CTBP2,SLC39A8
CTBP2,TRIM2
CTBP2,SH3BGRL2
CTBP2,PRSS35
CTBP2,AGL
CTBP2,CPVL
CTBP2,TCF4
CTBP2,RSPO3
CTBP2,TNFRSF11B
CTBP2,PGM2
CTBP2,ELMOD2
CTBP2,PLXNA2
CTBP2,NIPSNAP3A
CTBP2,COBLL1
CTBP2,COL5A1
CTBP2,RFC3
CTBP2,KIF15
CTBP2,GABRB2
CTBP2,CYP1B1
CTBP2,TTC27
CTBP2,RAVER2
CTBP2,THAP9
CTBP2,TADA1
CTBP2,PAM
CTBP2,ATP11B
CTBP2,TMSB15B
