,PseudoTime1
HSPC_025,0.065098714
HSPC_031,0.060364931
LT_HSC_001,0.037188915
HSPC_001,0.048052666
HSPC_008,0.055819086
HSPC_014,0.057606674
HSPC_020,0.013937901
LT_HSC_002,0.060505314
HSPC_002,0.045886669
HSPC_021,0.073419179
LT_HSC_003,0.082554236
HSPC_022,0.089954425
LT_HSC_004,0.030461673
HSPC_017,0.04241346
HSPC_035,0.051235794
HSPC_018,0.065143961
HSPC_024,0.054473034
LT_HSC_006,0.061071192
Prog_013,0.085087982
Prog_025,0.177641296
Prog_031,0.086611895
Prog_037,0.116142829
Prog_008,0.204418347
Prog_014,0.187788856
Prog_020,0.146026581
Prog_026,0.075078745
Prog_032,0.185680607
Prog_038,0.167899998
Prog_002,0.136436388
Prog_009,0.185401679
Prog_015,0.073561436
Prog_021,0.186720396
Prog_027,0.099396244
Prog_033,0.18424077
Prog_039,0.19922987
LT_HSC_009,0.033213193
Prog_003,0.12744625
Prog_010,0.084497694
Prog_016,0.179394791
Prog_022,0.184888444
Prog_028,0.14232129
Prog_040,0.066247186
Prog_004,0.109981112
Prog_011,0.175058242
Prog_023,0.106783845
Prog_029,0.20075811
Prog_035,0.187009967
LT_HSC_012,0.029199219
Prog_012,0.076192342
Prog_018,0.195646061
Prog_024,0.122672054
Prog_030,0.112305737
Prog_036,0.152288344
Prog_042,0.14598886
Prog_006,0.205265337
HSPC_055,0.075878
HSPC_079,0.081686323
LT_HSC_013,0.035886289
HSPC_062,0.087807351
HSPC_074,0.042703693
LT_HSC_014,0.033966788
HSPC_057,0.021145795
HSPC_069,0.041553144
HSPC_075,0.035178116
HSPC_081,0.061502938
LT_HSC_015,0.035562895
HSPC_076,0.066361429
HSPC_082,0.064524982
LT_HSC_016,0.025884762
HSPC_065,0.073943801
HSPC_077,0.077544218
HSPC_083,0.035333835
LT_HSC_017,0.048460163
HSPC_047,0.053367574
HSPC_060,0.044782672
HSPC_066,0.023303793
HSPC_084,0.058262644
LT_HSC_018,0.031255167
Prog_049,0.199121514
Prog_061,0.207980975
Prog_067,0.185775068
Prog_079,0.195592227
Prog_043,0.133836074
Prog_056,0.132669515
Prog_062,0.110885247
Prog_068,0.071167779
Prog_074,0.125986013
Prog_051,0.197254303
Prog_069,0.108326007
Prog_081,0.183817551
LT_HSC_021,0.09161617
Prog_045,0.124730343
Prog_052,0.098648422
Prog_058,0.177645914
Prog_064,0.188995826
Prog_070,0.07538958
Prog_076,0.18981701
Prog_082,0.19988561
LT_HSC_022,0.029056237
Prog_046,0.167031462
Prog_053,0.189590419
Prog_059,0.116849837
Prog_071,0.104069059
Prog_077,0.130212822
LT_HSC_023,0.031243345
LT_HSC_024,0.193205781
Prog_060,0.135352101
Prog_066,0.099413686
Prog_072,0.15037556
Prog_078,0.196779869
Prog_084,0.109599167
Prog_048,0.063002408
HSPC_109,0.087821215
HSPC_115,0.066857251
HSPC_085,0.059359809
HSPC_104,0.059715382
HSPC_110,0.104872289
HSPC_099,0.058020504
HSPC_111,0.039450566
HSPC_087,0.019670546
HSPC_094,0.074309458
HSPC_106,0.046932117
HSPC_118,0.064524982
LT_HSC_028,0.035520042
HSPC_088,0.06116118
HSPC_095,0.010244688
HSPC_119,0.051145988
HSPC_108,0.063906645
HSPC_120,0.029643146
HSPC_126,0.056762512
Prog_091,0.200311572
Prog_115,0.164585591
LT_HSC_031,0.08020692
Prog_085,0.115043435
Prog_092,0.112037361
Prog_098,0.184835913
Prog_110,0.201967536
Prog_116,0.072295069
Prog_122,0.111304381
LT_HSC_032,0.201269928
Prog_093,0.111325352
Prog_099,0.114719917
Prog_111,0.179298838
LT_HSC_033,0.023655281
Prog_094,0.189213711
Prog_100,0.189903407
Prog_106,0.071514817
Prog_112,0.177286084
LT_HSC_034,0.033209082
Prog_095,0.161843625
Prog_107,0.189845683
Prog_113,0.104452442
Prog_119,0.195065158
Prog_125,0.111208482
Prog_089,0.173279557
LT_HSC_036,0.007966259
Prog_102,0.186015385
Prog_114,0.114217227
Prog_120,0.175861743
Prog_126,0.108474862
Prog_090,0.207971605
HSPC_133,0.084190732
HSPC_139,0.045421995
HSPC_151,0.073870169
HSPC_127,0.078975326
HSPC_140,0.076700323
HSPC_146,0.085999691
HSPC_164,0.067281607
HSPC_135,0.031538321
HSPC_141,0.065857851
HSPC_159,0.066640335
LT_HSC_039,0.046768199
HSPC_136,0.068544472
HSPC_142,0.067728164
HSPC_130,0.061990027
HSPC_149,0.064214283
HSPC_155,0.060358495
HSPC_161,0.062364891
LT_HSC_041,0.029751686
HSPC_138,0.042480214
HSPC_144,0.067721815
HSPC_168,0.088351837
Prog_139,0.184710054
Prog_145,0.109725105
Prog_157,0.106779379
Prog_163,0.122183758
LT_HSC_043,0.0388389
Prog_127,0.071541219
Prog_134,0.112724187
Prog_140,0.177645707
Prog_146,0.145421286
Prog_152,0.101352519
Prog_158,0.202581953
LT_HSC_044,0.139076217
Prog_135,0.061882744
Prog_153,0.11129535
Prog_159,0.081449816
Prog_165,0.109689293
Prog_154,0.095790679
Prog_160,0.104666556
Prog_166,0.168316937
LT_HSC_046,0.034332631
Prog_143,0.109076799
Prog_149,0.105942473
Prog_155,0.101647136
Prog_161,0.11096305
Prog_131,0.103029359
Prog_138,0.098596103
Prog_168,0.111230604
Prog_132,0.105678509
HSPC_181,0.073730021
HSPC_187,0.079539955
HSPC_193,0.102992571
HSPC_199,0.041011802
HSPC_169,0.065544928
HSPC_182,0.057991141
HSPC_200,0.037946141
LT_HSC_050,0.027853813
HSPC_183,0.073684563
LT_HSC_051,0.050784052
HSPC_171,0.047676022
HSPC_202,0.038376831
LT_HSC_052,0.032080839
HSPC_172,0.070272263
HSPC_185,0.070054486
HSPC_191,0.025897757
HSPC_186,0.143851271
HSPC_198,0.058827132
HSPC_204,0.077512902
LT_HSC_054,0.032608405
Prog_199,0.075528951
LT_HSC_055,0.019264589
Prog_188,0.199238464
Prog_194,0.123032705
Prog_200,0.110162147
Prog_206,0.109480232
Prog_170,0.183126615
Prog_177,0.087655401
Prog_189,0.107642655
Prog_195,0.078995368
Prog_201,0.097204269
Prog_207,0.175412363
LT_HSC_057,0.017462999
Prog_171,0.103719923
Prog_178,0.195794743
