Gene1,Gene2
BMI1,GFI1
BMI1,EBF1
BMI1,GATA2
BMI1,ESR1
BMI1,TRIB2
BMI1,BMI1
BMI1,IRF8
BMI1,GOLM1
BMI1,ASNS
BMI1,IKZF1
BMI1,SPHK1
BMI1,MEF2C
BMI1,TSPAN33
BMI1,GATM
BMI1,SQOR
BMI1,GFI1B
BMI1,PLCG2
BMI1,PSMF1
BMI1,WDR75
BMI1,ETS1
BMI1,GNB4
BMI1,ANGPT1
BMI1,EPDR1
BMI1,SLC11A2
BMI1,GCNT2
CBFB,MSH6
CBFB,SLC35A1
CBFB,ORC5
CBFB,HEMGN
CBFB,LIMD2
CBFB,TIMM29
CBFB,OTUD6B
CBFB,WDR5
CBFB,DNAJC11
CBFB,TES
CBFB,RANGAP1
CBFB,ARL6IP6
CBFB,PMPCA
CBFB,PKM
CBFB,DCAF13
CBFB,SPNS2
CBFB,NFAT5
CBFB,PPAT
CBFB,CTPS
CBFB,PGLYRP2
CBFB,TMEM129
CBFB,TACC3
CBFB,TFR2
CBFB,ATP2A3
CBFB,MIS12
CBFB,GOSR2
CBFB,WARS
CBFB,PFKM
CBFB,STK25
CBFB,NCEH1
CBFB,CSTF2
CBFB,CLPX
CBFB,CRNKL1
CBFB,POLE3
CBFB,PWP2
CBFB,INCENP
CBFB,BIRC5
CBFB,DUS1L
CBFB,RAD51AP1
CBFB,FIGNL1
CBFB,PJA2
CBFB,COLGALT1
CBFB,GYPC
CBFB,CMPK2
CBFB,RASSF5
CBFB,1700017B05RIK
CBFB,PIK3R2
CBFB,NUDT9
CBFB,TREML2
CBFB,ANAPC2
CBFB,DUSP2
CBFB,SERPINB9
CBFB,HCFC1
CBFB,RNF115
CBFB,PNO1
CBFB,RASAL3
CBFB,SLC14A1
CBFB,PSMF1
CBFB,NGLY1
CBFB,CUL2
CBFB,CHMP7
CBFB,POLD1
CBFB,UBAC1
CBFB,CDC45
CBFB,PRKAB1
CBFB,ACSS1
CBFB,DNPEP
CBFB,HMBS
CBFB,METAP1
CBFB,TCP11L2
CBFB,ENPP4
CBFB,CYB5R3
CBFB,UBE2G2
CBFB,SACM1L
CBFB,ELAC2
CBFB,VPS33B
CBFB,ZFP62
CBFB,WDR75
CBFB,CLCN4
CBFB,GPR171
CBFB,GYPA
CBFB,ATL2
CBFB,ISG20
CBFB,AURKA
CBFB,PTDSS1
CBFB,CHP1
CBFB,ATG4B
CBFB,ZFP397
CBFB,RAD21
CBFB,HAUS2
CBFB,CEP70
CBFB,BAP1
CBFB,STAT3
CBFB,PRMT7
CBFB,HARS2
CBFB,HARS
CBFB,RNF139
CBFB,FASTKD2
CBFB,COA5
CBFB,THUMPD3
CBFB,MOGS
CBFB,CDCA3
CBFB,SLC31A1
CBFB,MARS
CBFB,TFRC
CBFB,UROS
CBFB,MGST3
CBFB,RFC4
CBFB,GFI1
CBFB,CDCA8
CBFB,D10WSU102E
CBFB,UBR7
CBFB,CDCA4
CBFB,PPOX
CBFB,MEMO1
CBFB,RNF145
CBFB,VKORC1L1
CBFB,DUSP1
CBFB,PACSIN2
CBFB,SATB1
CBFB,HACD3
CBFB,UAP1
CBFB,CBFB
CBFB,VIM
CBFB,FAM136A
CBFB,MTREX
CBFB,DOK2
CBFB,ZFP655
CBFB,CPOX
CBFB,LPCAT3
CBFB,KPNA3
CBFB,RRM1
CBFB,SDHAF2
CBFB,CUL4A
CBFB,MINPP1
CBFB,HERC4
CBFB,USP37
CBFB,ABCB8
CBFB,ASAH1
CBFB,FOXRED1
CBFB,SCFD1
CBFB,ALKBH8
CBFB,PSMD9
CBFB,RARS
CBFB,NR4A1
CBFB,HDAC2
CBFB,BYSL
CBFB,TUBGCP2
CBFB,PBK
CBFB,SMC2
CBFB,WDR73
CBFB,CPT2
CBFB,CAST
CBFB,TPX2
CBFB,FOS
CBFB,TSPAN14
CBFB,PICALM
CBFB,ABCB4
CBFB,MFSD1
CBFB,UBXN2B
CBFB,ZFP35
CBFB,FKBP1A
CBFB,CTSE
CBFB,ITIH5
CBFB,ORC6
CBFB,CISH
CBFB,MAD2L1
CBFB,NUP93
CBFB,ANXA5
CBFB,ATP13A1
CBFB,MAU2
CBFB,WDR4
CBFB,OASL2
CBFB,SMIM5
CBFB,LRRC8C
